"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/05/2023","AQS","040130019","1","0.5","ppm","6","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/06/2023","AQS","040130019","1","0.8","ppm","9","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/07/2023","AQS","040130019","1","0.9","ppm","10","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/08/2023","AQS","040130019","1","1.2","ppm","14","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/09/2023","AQS","040130019","1","1.7","ppm","19","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/10/2023","AQS","040130019","1","1.7","ppm","19","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/11/2023","AQS","040130019","1","1","ppm","11","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/12/2023","AQS","040130019","1","0.7","ppm","8","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/13/2023","AQS","040130019","1","0.6","ppm","7","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/14/2023","AQS","040130019","1","0.6","ppm","7","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/15/2023","AQS","040130019","1","0.9","ppm","10","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/16/2023","AQS","040130019","1","1.3","ppm","15","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/17/2023","AQS","040130019","1","1.5","ppm","17","WEST PHOENIX","18","75.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/18/2023","AQS","040130019","1","0.2","ppm","2","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/19/2023","AQS","040130019","1","0.2","ppm","2","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/20/2023","AQS","040130019","1","0.4","ppm","5","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/21/2023","AQS","040130019","1","0.5","ppm","6","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/22/2023","AQS","040130019","1","0.3","ppm","3","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/23/2023","AQS","040130019","1","0.2","ppm","2","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/24/2023","AQS","040130019","1","0.1","ppm","1","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/25/2023","AQS","040130019","1","0.1","ppm","1","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/26/2023","AQS","040130019","1","0.3","ppm","3","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/27/2023","AQS","040130019","1","0.6","ppm","7","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/28/2023","AQS","040130019","1","0.3","ppm","3","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
"04/29/2023","AQS","040130019","1","0.7","ppm","8","WEST PHOENIX","24","100.0000","42101","Carbon monoxide","054","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.4837800008686","-112.14256"
